City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,28.09,83,75,2.06,TO,1675740652
1,high rock,26.6208,-78.2833,18.01,65,8,5.69,BS,1675740987
2,cidreira,-30.1811,-50.2056,22.81,78,0,4.15,BR,1675740906
3,gat,31.61,34.7642,10.38,100,100,10.94,IL,1675740989
4,kruisfontein,-34.0033,24.7314,21.05,96,36,4.08,ZA,1675740758
5,kahului,20.8947,-156.47,26.01,74,20,9.77,US,1675740822
6,aklavik,68.2191,-135.0107,-34.4,97,100,1.3,CA,1675740756
7,yumen,40.2833,97.2,-0.24,41,37,7.06,CN,1675740992
8,port-gentil,-0.7193,8.7815,26.87,80,48,3.9,GA,1675740993
9,rikitea,-23.1203,-134.9692,26.49,70,24,4.17,PF,1675740757
10,bluff,-46.6,168.3333,13.95,68,63,13.29,NZ,1675740807
11,clyde river,70.4692,-68.5914,-34.87,75,100,1.54,CA,1675740699
12,port alfred,-33.5906,26.891,23.43,74,100,2.24,ZA,1675740828
13,santa rosa,14.3122,121.1114,30.99,72,55,5.4,PH,1675740997
14,bethel,41.3712,-73.414,1.94,66,0,3.09,US,1675740899
15,kapaa,22.0752,-159.319,26.99,83,40,6.17,US,1675740796
16,oranjestad,12.524,-70.027,26.06,85,3,2.68,AW,1675740998
17,horadiz,39.4488,47.3353,3.43,93,91,0.18,AZ,1675740999
18,narsaq,60.9167,-46.05,-17.88,63,19,3.8,GL,1675740849
19,ushuaia,-54.8,-68.3,8.81,87,100,10.29,AR,1675740778
20,barrow,71.2906,-156.7887,-25.99,84,100,3.6,US,1675740826
21,san carlos del zulia,9.0,-71.9135,24.37,84,33,2.26,VE,1675741000
22,mataura,-46.1927,168.8643,12.0,84,87,4.62,NZ,1675740764
23,hermanus,-34.4187,19.2345,21.56,93,96,2.21,ZA,1675740753
24,hamilton,39.1834,-84.5333,5.8,64,100,5.14,US,1675740809
25,georgetown,5.4112,100.3354,28.96,78,20,2.57,MY,1675740740
26,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,58,75,2.0,RU,1675740769
27,pyapon,16.2833,95.6833,29.46,30,100,3.08,MM,1675741002
28,mount gambier,-37.8333,140.7667,22.19,48,8,4.51,AU,1675740821
29,fort nelson,58.8053,-122.7002,-10.59,84,75,2.24,CA,1675741003
30,geraldton,-28.7667,114.6,26.23,53,0,6.69,AU,1675741004
31,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,1675740692
32,albany,42.6001,-73.9662,-2.28,67,52,2.17,US,1675740601
33,ambon,-3.6954,128.1814,32.08,58,20,7.2,ID,1675741006
34,hobart,-42.8794,147.3294,21.26,55,20,8.23,AU,1675740691
35,sitka,57.0531,-135.33,2.94,81,0,3.09,US,1675741008
36,uppsala,60.0,17.75,0.73,93,100,3.09,SE,1675741009
37,berezovyy,51.6667,135.7,-14.78,71,100,0.67,RU,1675741010
38,busselton,-33.65,115.3333,26.57,48,40,2.01,AU,1675740741
39,nikolskoye,59.7035,30.7861,-3.06,98,90,1.37,RU,1675740932
40,hokitika,-42.7167,170.9667,18.34,74,28,5.05,NZ,1675741014
